FIPS,pre_Grocery Stores,pre_Gasoline Stations,pre_Building Dealers,storm,state,landfall_date,order,forecast_wind,forecast_tp,year,fraction_pop_under_5,fraction_pop_over_65,dis_5to64_rate,lmt_english,no_vehicle_rate,median_income,white_fraction,sig_Grocery Stores,sig_Gasoline Stations,sig_Building Material and Supplies Dealers,Grocery Stores density,Gasoline Stations density,Building Dealers density,storm_beta,storm_claudette,storm_delta,storm_elsa,storm_helene,storm_henri,storm_ida,storm_laura,storm_milton,storm_zeta,state_LA,state_NC,state_NJ,state_NY,state_SC,state_TX,order_x_wind
36085,1.0093271152564955,0.9749732772749948,1.1179719964620085,ida,NY,2021-09-02,2,18.7335312086259,491.625,2021,5.6,16.3,0.0682376990407455,0.0663784153650134,0.153632438299278,0.089427,0.5607315828436682,0,0,1,2.8421052631578947,1.736842105263158,0.9649122807017544,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,37.4670624172518
36087,1.0904863344176807,1.0000656792880362,1.0998805210822478,ida,NY,2021-09-02,2,20.574382487029,1059.84375,2021,8.2,15.5,0.0570937231298366,0.0817924648349174,0.1036892747721733,0.09970699999999999,0.6092087878958056,1,0,1,0.7283236994219653,0.4797687861271676,0.3121387283236994,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,41.148764974058
36089,1.114522915955874,1.128142732058994,1.0796842698740836,ida,NY,2021-09-02,2,9.80411837282821,0.0397727268282324,2021,5.1,17.4,0.123337912761886,0.0055307587812924,0.0951630118377644,0.054351,0.889876042578683,1,1,1,0.0253826054497947,0.0205300485255692,0.0130645763344531,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,19.60823674565642
36091,1.0081486968819449,0.988285855550907,1.0580171831257843,ida,NY,2021-09-02,2,14.4581364937205,69.546875,2021,4.9,18.2,0.0786430438441517,0.0088930685175152,0.046550613826166,0.09079999999999999,0.8652790339222705,0,0,1,0.1285537700865265,0.0927070457354758,0.0506798516687268,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,28.916272987441
36093,1.0264446389289688,1.0203515996198922,1.0109686797938418,ida,NY,2021-09-02,2,15.771521428119,202.25,2021,5.9,17.1,0.1002122121458295,0.015285559815197,0.1198106097840689,0.06989100000000001,0.6635286376778585,0,0,0,0.4019607843137255,0.3235294117647059,0.1176470588235294,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,31.543042856238
36095,1.0498918875630658,1.0285758577924764,1.08,ida,NY,2021-09-02,2,16.5664617685621,288.33654251880944,2021,4.2,22.0,0.1258747614287012,0.0020644095788604,0.0573080099091659,0.06422,0.897152857239012,0,0,0,0.0354267310789049,0.0289855072463768,0.0080515297906602,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,33.1329235371242
36097,0.9395454545454544,0.8435220935220934,1.1940298507462686,ida,NY,2021-09-02,2,16.0812773169137,9.69791659899056,2021,4.8,21.3,0.1213274471000152,0.0106072659771943,0.0662954123574648,0.056437,0.9284836294558052,0,0,0,0.0274390243902439,0.0335365853658536,0.0091463414634146,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,32.1625546338274
36099,0.9815814367592232,1.0642934640278348,1.0171548794303285,ida,NY,2021-09-02,2,15.1498918500005,6.857142956927419,2021,5.3,19.2,0.1302629317752191,0.0083805043005219,0.0827023450709402,0.059086,0.8657065120955817,0,1,0,0.0278637770897832,0.0619195046439628,0.0340557275541795,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,30.299783700001
36101,0.989771778458113,1.001151512467337,1.175974512743628,ida,NY,2021-09-02,2,15.9648979057071,9.887930939672517,2021,5.5,19.5,0.1210309835902253,0.0060284605433376,0.0934023285899094,0.058652,0.901201060010258,0,0,1,0.037410071942446,0.0460431654676259,0.0201438848920863,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,31.9297958114142
36103,0.9927622720347152,0.9672384990377192,0.9086439538048,ida,NY,2021-09-02,2,19.2163657254662,313.0476192648057,2021,5.3,16.9,0.0648484869025307,0.0277274489481054,0.0534373491783434,0.11166,0.6339323162420049,0,0,0,0.7343578485181119,0.8660812294182217,0.4632272228320527,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,38.4327314509324
36105,0.8891248862155746,0.9719184570940692,1.0196619110418417,ida,NY,2021-09-02,2,19.702754380805,789.5374961793423,2021,5.7,18.8,0.1227657741727083,0.0295322043309272,0.1040741254858412,0.063393,0.6701643264143264,0,0,0,0.0712809917355371,0.0681818181818181,0.0175619834710743,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,39.40550876161
36107,1.0061150391744698,1.0551379736408568,1.1827045358202626,ida,NY,2021-09-02,2,16.929701357795,78.39583284873515,2021,5.1,20.2,0.1224721277007773,0.0009844457570387,0.0613801929513683,0.06498699999999999,0.9120833763285524,0,0,1,0.0482625482625482,0.0308880308880308,0.0154440154440154,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,33.85940271559
